Model,Train RMSE,Train MAE,Train MAPE,Test RMSE,Test MAE,Test MAPE,AIC,BIC,Log-Likelihood,"SARIMA(1,1,1)(1,1,1,24) ARCH-LM p-value",Prophet ARCH-LM p-value,"ETS(add,add,add,P=24) ARCH-LM p-value"
"SARIMA(1,1,1)(1,1,1,24)",1404.9460151528222,386.80599661220856,0.4364028624924829,6564.257894870211,5731.936576090499,6.235593357406873,64440.961266134036,64472.431514334545,-32215.480633067018,1.0000,,
Prophet,2044.7695695498405,1543.5441155936173,1.7176965923144563,11186.952412828827,8697.990297777336,9.073063605638676,,,,,0.0000,
"ETS(add,add,add,P=24)",535.5282915749121,351.91083259149593,0.3857629428041214,7711.0215138839085,6540.524105389483,7.022201705959653,61677.53803015661,61866.35951935967,-30808.769015078306,,,0.0000
